Phone Model,Rent Type,arg1,arg2,arg3,arg4,arg5,arg6
iPhone 14 Pro Max (256GB),租完送(1期),11600,11600,7550,1,115,7
iPhone 14 Pro Max (256GB),租完送(2期),11600,11600,7550,2,115,7
iPhone 14 Pro Max (256GB),租完还(1期),5040,11600,7550,1,115,7
iPhone 14 Pro Max (256GB),租完还(2期),5040,11600,7550,2,115,7
小米13(12+256GB),租完送(1期),5656,5656,3850,1,0,0
小米13(12+256GB),租完送(2期),5656,5656,3850,2,0,0
小米13(12+256GB),租完还(1期),3678,5656,3850,1,0,0
小米13(12+256GB),租完还(2期),3678,5656,3850,2,0,0
vivo iQOO11 Pro(12+256GB),租完送(1期),7149,7149,4400,1,0,0
vivo iQOO11 Pro(12+256GB),租完送(2期),7149,7149,4400,2,0,0
vivo iQOO11 Pro(12+256GB),租完还(1期),4124,7149,4400,1,0,0
vivo iQOO11 Pro(12+256GB),租完还(2期),4124,7149,4400,2,0,0
